Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,35.72,35.83,35.19,35.53,874100,35.53
2013-12-31,35.68,35.95,35.43,35.78,562200,35.78
2013-12-30,35.43,35.63,35.38,35.56,368700,35.56
2013-12-27,35.43,35.54,35.29,35.39,247900,35.39
2013-12-26,35.41,35.59,35.07,35.41,352200,35.41
2013-12-24,35.01,35.47,34.94,35.38,179000,35.38
2013-12-23,34.89,35.16,34.65,35.05,568600,35.05
2013-12-20,34.71,34.92,34.55,34.66,970400,34.66
2013-12-19,34.60,34.85,34.49,34.59,730800,34.59
2013-12-18,34.10,34.69,33.48,34.69,810300,34.69
2013-12-17,34.29,34.36,33.68,34.08,1100200,34.08
2013-12-16,34.05,34.43,33.98,34.35,1061500,34.35
2013-12-13,33.45,34.05,33.45,33.95,1297800,33.95
2013-12-12,33.46,33.80,33.20,33.33,1444300,33.33
2013-12-11,33.52,33.61,33.01,33.08,1409000,33.08
2013-12-10,33.77,34.06,33.53,33.71,984600,33.71
2013-12-09,33.61,34.07,33.53,33.98,768400,33.98
2013-12-06,33.61,33.72,33.46,33.62,731000,33.62
2013-12-05,33.37,33.74,33.16,33.17,933500,33.17
2013-12-04,33.35,33.78,33.17,33.54,1507700,33.54
