Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,74.52,74.78,73.83,74.00,1079000,74.00
2013-12-31,74.00,74.50,73.96,74.37,890700,74.37
2013-12-30,73.19,74.04,72.82,73.99,880700,73.99
2013-12-27,73.41,73.79,73.10,73.42,757900,73.42
2013-12-26,71.83,72.76,71.65,72.74,481400,72.74
2013-12-24,71.35,72.11,71.35,71.83,373600,71.83
2013-12-23,72.00,72.04,71.09,71.21,1437800,71.21
2013-12-20,72.37,72.50,71.38,71.48,2411000,71.48
2013-12-19,71.80,73.19,71.80,72.60,2242200,72.60
2013-12-18,69.84,70.55,68.79,70.55,1182400,70.55
2013-12-17,69.50,70.44,69.50,69.84,1654500,69.44
2013-12-16,69.00,69.82,69.00,69.63,1053900,69.23
2013-12-13,68.95,69.67,68.79,68.82,875200,68.43
2013-12-12,69.46,69.80,68.80,68.90,1384300,68.51
2013-12-11,71.27,71.55,69.53,69.81,1504000,69.41
2013-12-10,70.79,71.36,70.63,70.65,751600,70.25
2013-12-09,71.30,71.78,70.95,71.11,824800,70.70
2013-12-06,70.79,71.56,70.71,71.30,1149700,70.89
2013-12-05,70.93,71.16,70.05,70.42,1777700,70.02
2013-12-04,70.28,70.70,69.32,69.43,1937700,69.03
