Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,128.42,129.64,128.20,128.76,537600,128.76
2013-12-31,128.63,129.37,128.12,128.71,330400,128.71
2013-12-30,129.11,129.11,127.61,128.46,337300,128.46
2013-12-27,129.94,129.99,128.43,128.87,232400,128.87
2013-12-26,129.35,129.81,128.15,129.64,290800,129.64
2013-12-24,128.61,129.59,128.25,129.21,155800,129.21
2013-12-23,128.97,129.46,127.34,128.25,650400,128.25
2013-12-20,129.65,129.82,128.57,128.76,1049600,128.76
2013-12-19,129.53,129.82,128.19,129.14,457700,129.14
2013-12-18,127.50,129.63,126.68,129.53,635200,129.53
2013-12-17,127.91,128.26,127.29,127.34,634600,127.34
2013-12-16,126.89,128.10,126.71,127.94,708900,127.94
2013-12-13,125.52,126.66,124.99,126.47,732000,126.47
2013-12-12,124.67,127.97,124.42,124.92,798700,124.92
2013-12-11,125.34,126.11,124.69,124.86,897800,124.86
2013-12-10,123.33,125.82,123.33,125.02,877400,125.02
2013-12-09,125.00,125.22,123.24,123.86,1044900,123.86
2013-12-06,122.28,125.08,121.70,125.00,1190500,125.00
2013-12-05,121.06,122.19,120.92,120.96,1102000,120.96
2013-12-04,123.61,124.50,120.34,121.08,2158700,121.08
