Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,94.51,94.84,93.41,93.85,2752600,93.85
2013-12-31,94.95,95.32,94.23,95.10,2689600,95.10
2013-12-30,94.64,95.32,94.35,94.55,2230200,94.55
2013-12-27,94.16,94.95,93.88,94.85,2001700,94.85
2013-12-26,93.47,94.11,93.13,94.03,2047900,94.03
2013-12-24,93.24,93.54,92.66,93.48,954700,93.48
2013-12-23,93.41,93.88,93.17,93.23,2209800,93.23
2013-12-20,92.80,93.52,92.54,92.80,4870100,92.80
2013-12-19,91.87,93.13,91.50,92.93,4232800,92.93
2013-12-18,90.75,92.34,90.39,92.26,4846100,92.26
2013-12-17,90.95,90.96,90.13,90.21,4578300,90.21
2013-12-16,91.32,91.83,90.73,90.95,3592200,90.95
2013-12-13,91.24,91.49,90.63,91.11,3310500,91.11
2013-12-12,91.44,92.12,90.98,91.24,4265700,91.24
2013-12-11,92.36,92.79,91.33,91.54,4622800,91.54
2013-12-10,93.15,93.20,92.45,92.49,4071200,92.49
2013-12-09,92.57,93.78,92.37,93.14,5059300,93.14
2013-12-06,93.94,94.54,92.54,92.65,4220900,92.65
2013-12-05,94.40,94.44,93.36,93.43,4570100,92.79
2013-12-04,94.30,95.06,93.75,94.59,3998500,93.94
