Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,45.44,45.54,44.95,45.06,1853800,45.06
2013-12-31,45.59,45.74,45.46,45.53,1466100,45.53
2013-12-30,45.63,45.69,45.47,45.67,1181500,45.67
2013-12-27,45.72,45.94,45.50,45.58,951900,45.58
2013-12-26,45.64,45.79,45.34,45.64,1128500,45.64
2013-12-24,45.44,45.53,45.30,45.43,825700,45.43
2013-12-23,45.46,45.49,45.16,45.48,2446800,45.48
2013-12-20,44.84,45.23,44.43,45.15,3982000,45.15
2013-12-19,44.25,45.69,44.00,44.90,7014400,44.90
2013-12-18,43.01,43.40,42.52,43.32,4188500,43.32
2013-12-17,43.19,43.19,42.74,42.90,2042000,42.90
2013-12-16,42.99,43.32,42.83,43.17,1892400,43.17
2013-12-13,43.09,43.10,42.52,42.63,3160700,42.63
2013-12-12,42.92,43.07,42.57,43.01,3086600,43.01
2013-12-11,43.34,43.49,42.94,43.00,2212900,43.00
2013-12-10,43.43,43.62,43.27,43.38,3246900,43.38
2013-12-09,43.47,43.62,43.15,43.49,2142500,43.49
2013-12-06,43.25,43.39,42.94,43.37,2187500,43.37
2013-12-05,43.49,43.49,42.55,42.68,2843200,42.68
2013-12-04,44.63,44.63,43.25,43.48,3862700,43.48
