Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,40.36,40.37,39.66,39.66,2366400,39.66
2013-12-31,40.33,40.47,40.13,40.28,1925500,40.28
2013-12-30,40.22,40.42,40.07,40.27,2151200,40.27
2013-12-27,40.28,40.56,40.15,40.28,1334800,40.28
2013-12-26,41.12,41.18,40.48,40.56,1925200,40.11
2013-12-24,40.98,41.23,40.91,41.03,1053800,40.57
2013-12-23,40.80,41.19,40.73,40.98,2317700,40.52
2013-12-20,40.17,40.94,40.14,40.56,5428300,40.11
2013-12-19,40.57,40.57,40.04,40.22,3901200,39.77
2013-12-18,40.70,41.01,40.11,40.95,3941000,40.49
2013-12-17,40.95,41.09,40.56,40.64,4126700,40.18
2013-12-16,40.66,41.16,40.64,40.98,4383400,40.52
2013-12-13,40.34,40.49,40.22,40.42,2025800,39.97
2013-12-12,40.17,40.49,40.16,40.20,3367600,39.75
2013-12-11,40.25,40.57,40.17,40.26,2640800,39.81
2013-12-10,41.09,41.20,40.18,40.32,3349800,39.87
2013-12-09,41.06,41.46,41.00,41.16,2569700,40.70
2013-12-06,40.53,41.23,40.43,41.11,2854100,40.65
2013-12-05,40.66,40.66,40.05,40.36,3130000,39.91
2013-12-04,40.57,40.91,40.33,40.71,2394800,40.25
