Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,1159.97,1161.29,1140.00,1145.44,653300,1145.44
2013-12-31,1155.93,1162.40,1154.01,1162.40,444000,1162.40
2013-12-30,1172.35,1172.35,1151.00,1152.89,645700,1152.89
2013-12-27,1191.71,1191.74,1168.66,1170.31,516200,1170.31
2013-12-26,1183.20,1189.85,1178.08,1189.85,308100,1189.85
2013-12-24,1185.58,1188.40,1179.80,1179.90,254600,1179.90
2013-12-23,1194.47,1194.47,1180.04,1187.25,512500,1187.25
2013-12-20,1194.75,1196.69,1188.90,1190.95,775800,1190.95
2013-12-19,1187.90,1194.00,1183.72,1191.57,602700,1191.57
2013-12-18,1161.43,1188.62,1145.00,1187.99,878400,1187.99
2013-12-17,1174.09,1175.00,1156.21,1160.90,593200,1160.90
2013-12-16,1170.60,1178.66,1168.00,1174.25,430700,1174.25
2013-12-13,1182.03,1182.05,1169.18,1171.27,485300,1171.27
2013-12-12,1174.56,1183.47,1171.02,1175.24,404900,1175.24
2013-12-11,1192.59,1198.50,1175.10,1178.11,581900,1178.11
2013-12-10,1178.00,1192.26,1175.62,1188.92,438700,1188.92
2013-12-09,1183.06,1187.00,1174.70,1178.68,482400,1178.68
2013-12-06,1189.00,1189.00,1172.76,1180.40,417000,1180.40
2013-12-05,1180.69,1180.94,1169.94,1174.39,383700,1174.39
2013-12-04,1171.59,1184.99,1166.54,1181.67,462700,1181.67
