Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,268.65,268.72,264.51,265.38,465900,265.38
2013-12-31,268.68,269.96,268.15,269.30,376700,269.30
2013-12-30,269.69,269.87,267.29,268.43,243600,268.43
2013-12-27,270.92,271.75,268.47,268.72,299700,268.72
2013-12-26,271.16,271.99,269.38,270.77,329300,270.77
2013-12-24,268.06,271.15,268.00,270.98,175300,270.98
2013-12-23,268.23,269.80,266.74,268.71,592000,268.71
2013-12-20,264.67,268.75,264.13,267.85,942700,267.85
2013-12-19,264.50,265.99,263.21,263.89,533500,263.89
2013-12-18,261.92,264.92,256.19,264.78,657900,264.78
2013-12-17,259.08,261.76,257.62,261.57,792800,261.57
2013-12-16,254.16,258.50,253.96,257.40,389800,257.40
2013-12-13,254.60,255.40,252.05,253.11,334000,253.11
2013-12-12,251.82,254.77,250.91,253.62,544000,253.62
2013-12-11,254.19,254.19,251.65,251.84,872400,251.84
2013-12-10,252.82,254.81,252.31,253.27,329800,253.27
2013-12-09,255.40,255.90,252.95,253.64,468200,253.64
2013-12-06,253.83,256.16,253.10,254.33,526500,254.33
2013-12-05,252.82,253.84,251.89,252.42,538900,252.42
2013-12-04,253.84,257.60,252.19,253.83,512100,253.83
