Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,31.91,31.93,31.31,31.33,3322600,31.33
2013-12-31,32.07,32.12,31.81,32.04,3024400,32.04
2013-12-30,31.98,32.05,31.86,32.02,2471400,32.02
2013-12-27,31.89,32.02,31.72,31.92,1926200,31.92
2013-12-26,31.98,32.01,31.76,31.84,1753400,31.84
2013-12-24,31.81,31.93,31.62,31.85,1511800,31.85
2013-12-23,32.02,32.17,31.64,31.74,10685600,31.74
2013-12-20,31.64,31.91,31.58,31.75,6570100,31.75
2013-12-19,32.00,32.07,31.42,31.65,3955700,31.65
2013-12-18,31.86,32.27,31.39,32.20,3180500,32.20
2013-12-17,32.04,32.12,31.84,31.90,2205900,31.90
2013-12-16,32.01,32.34,31.92,32.11,2582800,32.11
2013-12-13,32.08,32.21,31.80,31.86,2010300,31.86
2013-12-12,31.93,32.38,31.82,32.12,3260300,32.12
2013-12-11,32.14,32.20,31.80,31.87,3031300,31.87
2013-12-10,32.47,32.47,32.11,32.20,3390900,32.20
2013-12-09,32.58,32.64,32.12,32.41,4242600,32.41
2013-12-06,32.35,32.75,32.25,32.56,3230900,32.56
2013-12-05,32.53,32.71,32.05,32.21,4709000,32.21
2013-12-04,32.46,32.78,32.29,32.68,8139000,32.68
