Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,82.93,82.99,81.82,82.10,3275900,82.10
2013-12-31,82.98,83.33,82.54,82.94,3009500,82.94
2013-12-30,82.71,83.09,82.68,82.91,2006900,82.91
2013-12-27,82.74,83.11,82.46,82.71,2361300,82.71
2013-12-26,82.14,82.45,82.01,82.45,1799000,82.45
2013-12-24,82.06,82.21,81.80,82.04,1115400,82.04
2013-12-23,82.34,82.38,81.45,81.86,3718700,81.86
2013-12-20,81.55,82.10,81.47,81.81,7496100,81.81
2013-12-19,81.28,81.79,81.02,81.66,4075700,81.66
2013-12-18,80.58,81.61,79.96,81.42,7416900,81.42
2013-12-17,81.05,81.25,80.35,80.46,7978600,80.46
2013-12-16,81.06,81.30,80.60,81.00,4245600,81.00
2013-12-13,81.53,81.84,80.85,80.93,3798300,80.93
2013-12-12,82.56,82.65,80.97,81.28,6327400,81.28
2013-12-11,82.32,83.07,82.32,82.67,6606300,82.67
2013-12-10,82.45,82.81,82.11,82.40,4888900,82.40
2013-12-09,82.92,83.20,82.36,82.69,5371700,82.69
2013-12-06,82.52,83.25,82.24,83.15,4841200,83.15
2013-12-05,82.41,82.59,81.89,81.90,5321600,81.90
2013-12-04,83.02,83.02,82.11,82.65,6819800,82.65
