Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,81.33,81.36,80.32,80.54,6981700,80.54
2013-12-31,81.83,82.00,81.09,81.41,5765300,81.41
2013-12-30,82.00,82.05,81.57,82.00,4145600,82.00
2013-12-27,82.09,82.48,81.86,82.01,4006000,82.01
2013-12-26,81.49,81.89,81.29,81.76,5347000,81.76
2013-12-24,81.33,81.61,81.25,81.31,2899100,81.31
2013-12-23,82.14,82.14,81.01,81.31,8653600,81.31
2013-12-20,81.98,82.54,81.82,81.84,13206100,81.84
2013-12-19,81.98,82.29,81.51,81.90,6442600,81.90
2013-12-18,81.21,82.42,80.48,82.38,12036100,82.38
2013-12-17,81.79,81.85,80.69,80.91,11404100,80.91
2013-12-16,82.72,83.07,81.60,81.69,8838800,81.69
2013-12-13,82.32,82.46,81.56,82.37,7441600,82.37
2013-12-12,83.82,83.87,81.93,82.30,10157800,82.30
2013-12-11,83.74,84.50,83.61,84.02,9702400,84.02
2013-12-10,84.41,84.43,83.43,83.65,7373300,83.65
2013-12-09,84.48,84.94,84.34,84.78,7395300,84.78
2013-12-06,83.23,84.53,83.17,84.52,7189400,84.52
2013-12-05,83.39,83.45,82.30,82.69,8186600,82.69
2013-12-04,83.38,83.49,82.59,83.35,6790200,83.35
