Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,27.29,27.30,26.67,26.72,2569500,26.72
2013-12-31,27.23,27.31,27.15,27.27,1654000,27.27
2013-12-30,27.11,27.29,27.05,27.16,2201700,27.16
2013-12-27,27.16,27.20,26.98,27.07,1799100,27.07
2013-12-26,27.03,27.19,26.88,27.07,3750900,27.07
2013-12-24,26.83,26.94,26.83,26.93,823700,26.93
2013-12-23,26.89,26.97,26.74,26.83,2246200,26.83
2013-12-20,26.70,26.87,26.65,26.82,3485200,26.82
2013-12-19,26.36,26.82,26.31,26.70,2910700,26.70
2013-12-18,26.25,26.55,25.92,26.51,4657300,26.51
2013-12-17,26.28,26.35,26.04,26.16,1447700,26.16
2013-12-16,26.36,26.37,26.07,26.32,2519400,26.32
2013-12-13,26.52,26.64,26.20,26.24,3414300,26.24
2013-12-12,26.91,27.00,26.51,26.52,4083100,26.52
2013-12-11,27.85,27.95,26.95,27.00,5675600,27.00
2013-12-10,27.39,27.55,27.34,27.34,1583200,27.34
2013-12-09,27.65,27.73,27.48,27.51,1825000,27.51
2013-12-06,27.44,27.61,27.16,27.53,3031300,27.53
2013-12-05,27.41,27.48,27.06,27.14,3434700,27.14
2013-12-04,27.76,27.88,27.32,27.45,3503200,27.45
