Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,128.10,128.78,126.99,127.24,806800,127.24
2013-12-31,129.61,129.77,128.29,128.64,455900,128.64
2013-12-30,127.97,128.89,127.97,128.88,575600,128.88
2013-12-27,128.32,128.49,127.67,128.11,493800,128.11
2013-12-26,127.34,128.33,127.24,127.88,521300,127.88
2013-12-24,126.20,127.39,125.97,127.21,279800,127.21
2013-12-23,126.92,126.96,125.79,126.20,1016500,126.20
2013-12-20,124.67,126.25,123.91,126.21,1750100,126.21
2013-12-19,122.29,124.01,121.80,123.87,1063200,123.87
2013-12-18,120.32,122.57,119.13,122.50,967600,122.50
2013-12-17,120.48,120.77,119.59,119.92,750400,119.92
2013-12-16,119.21,121.09,119.21,120.48,708900,120.48
2013-12-13,118.75,119.59,118.15,118.97,1136000,118.97
2013-12-12,118.39,118.92,117.64,118.27,1227600,118.27
2013-12-11,114.32,119.84,114.32,117.99,1121800,117.99
2013-12-10,119.55,120.73,119.48,119.69,894500,119.69
2013-12-09,121.21,122.52,120.28,120.79,921900,120.79
2013-12-06,119.74,121.58,118.96,121.10,1246000,121.10
2013-12-05,116.32,117.61,116.21,116.51,1379100,116.51
2013-12-04,115.94,117.11,115.19,116.71,1186500,116.71
