Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,20.25,20.34,19.86,20.08,5616900,20.08
2013-12-31,20.24,20.49,20.09,20.37,6132800,20.37
2013-12-30,20.08,20.31,19.98,20.13,5561700,20.13
2013-12-27,19.98,20.24,19.82,20.07,4408900,20.07
2013-12-26,19.85,20.32,19.75,19.98,6264600,19.98
2013-12-24,19.72,20.02,19.32,19.73,4838900,19.73
2013-12-23,18.83,19.76,18.77,19.71,11411100,19.71
2013-12-20,18.33,18.80,18.28,18.62,9371800,18.62
2013-12-19,18.62,18.63,18.18,18.25,5657400,18.25
2013-12-18,18.39,18.74,17.83,18.41,15700600,18.41
2013-12-17,18.04,18.10,17.65,18.02,5714100,18.02
2013-12-16,18.12,18.43,18.09,18.11,4425900,18.06
2013-12-13,18.10,18.29,17.95,18.03,4544800,17.98
2013-12-12,18.06,18.19,17.88,18.06,4204400,18.01
2013-12-11,18.40,18.41,17.90,18.07,6785800,18.02
2013-12-10,18.49,18.97,18.38,18.43,5280000,18.38
2013-12-09,18.22,18.64,18.19,18.33,6028800,18.28
2013-12-06,18.25,18.47,18.08,18.18,7826200,18.13
2013-12-05,18.24,18.32,17.84,17.99,8293100,17.94
2013-12-04,18.18,18.59,17.92,18.35,7932800,18.30
