Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,40.99,41.39,40.86,40.94,832600,40.94
2013-12-31,41.39,41.41,40.95,41.23,411000,41.23
2013-12-30,41.14,41.36,40.94,41.35,290000,41.35
2013-12-27,41.22,41.41,41.08,41.18,226300,41.18
2013-12-26,41.11,41.35,40.70,41.08,254000,41.08
2013-12-24,41.03,41.28,40.94,41.12,216100,41.12
2013-12-23,40.92,41.14,40.43,41.05,1258400,41.05
2013-12-20,40.64,40.90,40.43,40.64,972300,40.64
2013-12-19,40.13,40.55,39.89,40.45,707900,40.45
2013-12-18,39.06,40.22,39.04,40.21,748700,40.21
2013-12-17,39.23,39.46,39.02,39.07,614900,39.07
2013-12-16,39.19,39.37,38.97,39.25,509400,39.25
2013-12-13,39.08,39.18,38.80,38.97,750500,38.97
2013-12-12,38.85,39.41,38.69,39.06,1001200,39.06
2013-12-11,39.62,39.80,38.67,38.87,1013800,38.87
2013-12-10,39.09,40.61,39.06,39.61,2081900,39.61
2013-12-09,38.14,38.75,38.12,38.69,752400,38.69
2013-12-06,37.81,38.17,37.66,38.14,592900,38.14
2013-12-05,37.43,37.77,37.41,37.53,549700,37.53
2013-12-04,37.29,37.61,37.24,37.48,871100,37.48
