Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,36.99,37.01,36.55,36.91,1985500,36.91
2013-12-31,37.18,37.36,36.79,36.95,2593200,36.95
2013-12-30,37.23,37.49,37.16,37.19,1117800,37.19
2013-12-27,37.15,37.25,36.94,37.19,2480800,37.19
2013-12-26,37.12,37.45,36.99,37.13,2132100,37.13
2013-12-24,36.91,37.12,36.64,36.97,929500,36.97
2013-12-23,37.42,37.42,36.91,36.99,2199000,36.99
2013-12-20,36.58,36.94,36.58,36.83,2602400,36.83
2013-12-19,37.08,37.08,36.19,36.73,3082700,36.73
2013-12-18,36.30,37.21,35.99,37.16,5075400,37.16
2013-12-17,36.17,36.50,36.00,36.33,3772000,36.33
2013-12-16,36.02,36.21,35.71,36.14,2800500,36.14
2013-12-13,36.69,37.14,36.12,36.29,2339100,36.01
2013-12-12,36.40,36.73,36.01,36.57,3216400,36.29
2013-12-11,37.69,37.80,36.42,36.49,2093400,36.21
2013-12-10,37.88,38.08,37.76,37.77,1888400,37.48
2013-12-09,37.90,38.08,37.48,37.93,2007300,37.64
2013-12-06,37.68,37.91,37.53,37.84,1560800,37.55
2013-12-05,37.16,37.47,36.81,37.22,2066300,36.93
2013-12-04,37.14,37.81,37.00,37.29,2118800,37.00
