Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,84.98,85.09,83.90,84.16,393600,84.16
2013-12-31,85.04,85.53,85.01,85.35,319100,85.35
2013-12-30,85.10,85.32,84.69,85.05,266300,85.05
2013-12-27,85.46,85.57,84.74,84.99,256600,84.99
2013-12-26,85.30,85.58,85.14,85.49,245200,85.49
2013-12-24,84.75,85.34,84.75,85.21,95900,85.21
2013-12-23,85.50,85.50,84.47,84.91,405900,84.91
2013-12-20,84.49,85.33,84.37,85.00,895900,85.00
2013-12-19,84.37,84.69,84.04,84.52,498100,84.52
2013-12-18,83.13,84.61,82.03,84.58,359600,84.58
2013-12-17,83.57,83.75,82.53,83.04,455400,83.04
2013-12-16,82.13,83.61,81.94,83.43,511700,83.43
2013-12-13,82.27,82.49,79.88,81.65,724500,81.65
2013-12-12,82.09,82.47,81.88,81.96,362600,81.96
2013-12-11,83.53,83.67,82.31,82.47,490900,82.47
2013-12-10,83.68,83.98,83.25,83.54,243100,83.54
2013-12-09,84.10,84.37,83.58,83.85,397300,83.85
2013-12-06,83.43,84.22,82.88,83.87,652700,83.87
2013-12-05,81.73,82.30,81.42,82.29,565900,82.29
2013-12-04,82.29,82.75,81.09,81.94,418000,81.94
