Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,87.00,87.20,85.75,86.02,3748000,86.02
2013-12-31,86.63,87.34,86.42,87.13,3799000,87.13
2013-12-30,86.57,86.89,85.84,86.60,3908300,86.60
2013-12-27,86.20,86.93,86.09,86.74,3046000,86.74
2013-12-26,85.48,86.14,85.43,86.01,2624000,86.01
2013-12-24,85.09,85.99,85.01,85.43,1909600,85.43
2013-12-23,84.84,85.39,84.33,85.25,4166600,85.25
2013-12-20,85.55,85.86,85.31,85.52,9643600,84.58
2013-12-19,85.33,85.68,84.82,85.48,5667300,84.54
2013-12-18,84.99,85.56,83.81,85.48,6874300,84.54
2013-12-17,84.71,84.86,84.32,84.65,5663200,83.72
2013-12-16,85.27,85.27,84.62,84.75,5500600,83.82
2013-12-13,85.45,85.58,84.90,85.24,3650000,84.30
2013-12-12,85.73,85.85,85.21,85.32,4616800,84.38
2013-12-11,86.01,86.29,85.51,85.92,5352100,84.98
2013-12-10,86.25,86.49,85.38,85.79,4756300,84.85
2013-12-09,86.04,86.44,85.59,86.35,4597600,85.40
2013-12-06,86.31,86.55,85.60,85.83,4844800,84.89
2013-12-05,85.69,86.09,85.11,85.51,5591800,84.57
2013-12-04,85.32,86.04,85.01,85.91,4495400,84.97
