Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,76.06,77.22,76.06,76.60,1742100,76.60
2013-12-31,77.54,77.78,77.35,77.58,1292300,77.58
2013-12-30,78.20,78.29,77.36,77.51,1251200,77.51
2013-12-27,77.51,78.36,77.19,78.20,2022000,78.20
2013-12-26,77.32,77.47,77.13,77.26,663400,77.26
2013-12-24,77.09,77.32,76.86,77.13,415400,77.13
2013-12-23,76.73,77.39,76.38,77.02,1553700,77.02
2013-12-20,76.28,76.74,76.21,76.37,2630100,76.37
2013-12-19,75.38,76.31,74.91,76.00,2535900,76.00
2013-12-18,74.76,75.65,73.92,75.64,3258300,75.64
2013-12-17,75.47,75.50,74.41,74.65,2492000,74.65
2013-12-16,75.10,75.67,75.09,75.48,2236500,75.48
2013-12-13,75.77,76.27,75.14,75.38,1690100,75.38
2013-12-12,75.49,76.11,75.26,75.82,1884300,75.82
2013-12-11,76.46,76.56,75.23,75.48,2410900,75.48
2013-12-10,75.91,76.89,75.81,76.56,2867400,76.56
2013-12-09,76.77,76.79,76.07,76.28,1388400,76.28
2013-12-06,75.96,76.33,75.44,76.17,1717300,76.17
2013-12-05,75.36,75.52,74.80,75.02,2031100,75.02
2013-12-04,75.59,76.44,75.18,75.72,2309200,75.72
