Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,19.07,19.13,18.68,18.82,2199300,18.82
2013-12-31,19.14,19.18,19.06,19.13,2104900,19.13
2013-12-30,18.90,19.16,18.90,19.08,1775900,19.08
2013-12-27,18.90,19.00,18.84,18.93,1188000,18.93
2013-12-26,19.04,19.07,18.80,18.95,1374700,18.95
2013-12-24,18.87,19.07,18.79,19.00,1041400,19.00
2013-12-23,18.97,19.05,18.88,18.93,2472900,18.93
2013-12-20,18.65,18.93,18.65,18.91,2426700,18.91
2013-12-19,18.82,18.84,18.51,18.62,1553600,18.62
2013-12-18,18.64,18.90,18.55,18.86,3238800,18.86
2013-12-17,18.69,18.70,18.50,18.61,1690600,18.61
2013-12-16,18.64,18.82,18.59,18.73,2392100,18.73
2013-12-13,18.64,18.74,18.50,18.58,1268200,18.58
2013-12-12,18.59,18.81,18.58,18.64,2236200,18.64
2013-12-11,18.75,18.78,18.60,18.63,2369300,18.63
2013-12-10,19.00,19.03,18.70,18.75,2804100,18.75
2013-12-09,19.07,19.13,18.94,19.00,1834500,19.00
2013-12-06,18.91,19.20,18.86,19.08,2308900,19.08
2013-12-05,19.08,19.25,18.98,19.13,2455700,18.86
2013-12-04,18.98,19.11,18.85,19.09,2539900,18.82
