Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,189.50,190.29,188.53,188.94,684200,188.94
2013-12-31,188.77,190.07,188.26,189.66,519400,189.66
2013-12-30,187.82,188.83,187.10,188.47,507600,188.47
2013-12-27,188.58,188.58,187.25,187.78,391500,187.78
2013-12-26,187.84,188.37,187.25,188.08,304900,188.08
2013-12-24,185.61,187.60,185.61,187.58,186500,187.58
2013-12-23,187.40,187.42,185.08,185.50,686800,185.50
2013-12-20,185.02,187.35,184.77,186.62,2267200,186.62
2013-12-19,184.86,185.81,184.35,185.30,717600,185.30
2013-12-18,183.76,185.63,180.90,185.23,959500,185.23
2013-12-17,183.21,184.00,181.91,183.61,812500,183.61
2013-12-16,182.91,184.30,181.50,182.40,954000,182.40
2013-12-13,183.93,185.14,182.29,182.91,676700,182.91
2013-12-12,182.22,184.59,182.05,183.92,898900,183.92
2013-12-11,187.09,187.23,181.49,182.35,1082000,182.35
2013-12-10,186.71,188.00,185.91,187.35,551800,187.35
2013-12-09,188.19,189.00,186.03,186.71,708500,186.71
2013-12-06,185.00,187.96,182.96,187.84,947200,187.84
2013-12-05,182.00,183.29,180.85,181.78,578000,181.78
2013-12-04,181.71,184.60,181.71,182.95,964800,182.95
