Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,30.13,30.13,29.64,29.65,4664000,29.65
2013-12-31,29.95,30.18,29.85,30.09,2458800,30.09
2013-12-30,29.78,29.97,29.78,29.95,2155500,29.95
2013-12-27,29.84,29.90,29.67,29.85,1648500,29.85
2013-12-26,29.83,29.87,29.65,29.75,1758600,29.75
2013-12-24,29.78,29.93,29.63,29.86,1204500,29.86
2013-12-23,29.79,29.96,29.68,29.76,3308200,29.76
2013-12-20,29.42,29.74,29.41,29.68,5819600,29.68
2013-12-19,29.58,29.63,29.13,29.33,2959300,29.33
2013-12-18,29.35,29.69,28.95,29.68,4393900,29.68
2013-12-17,29.30,29.37,29.13,29.29,3680300,29.29
2013-12-16,29.39,29.61,29.31,29.41,2734500,29.41
2013-12-13,29.36,29.39,29.06,29.25,3880800,29.25
2013-12-12,29.35,29.54,29.25,29.27,3925400,29.27
2013-12-11,29.60,29.64,29.25,29.31,4398300,29.31
2013-12-10,30.09,30.14,29.60,29.64,4033500,29.64
2013-12-09,29.94,30.11,29.77,30.06,4170900,30.06
2013-12-06,30.05,30.25,29.75,29.98,7010000,29.98
2013-12-05,30.81,30.84,30.22,30.29,5291900,29.92
2013-12-04,30.65,30.86,30.52,30.85,3048000,30.48
