Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,152.45,154.52,152.11,153.10,1209500,153.10
2013-12-31,153.59,154.13,152.52,153.46,758300,153.46
2013-12-30,152.71,153.50,151.81,153.11,910800,153.11
2013-12-27,152.50,152.50,150.81,152.12,508800,152.12
2013-12-26,151.58,152.98,151.51,152.17,503200,152.17
2013-12-24,151.57,152.12,150.53,151.60,285500,151.60
2013-12-23,153.06,153.34,151.00,151.80,1024300,151.80
2013-12-20,151.61,152.26,148.15,152.26,3168800,152.26
2013-12-19,155.55,155.55,148.86,151.14,2484700,151.14
2013-12-18,153.45,156.47,153.02,155.67,9790200,155.66
2013-12-17,149.70,153.25,149.12,153.25,6028700,153.24
2013-12-16,152.23,152.51,149.49,151.04,2064000,151.03
2013-12-13,153.30,153.43,151.50,151.82,1709600,151.81
2013-12-12,150.72,154.39,149.32,153.68,1761100,153.67
2013-12-11,154.14,154.52,150.98,151.11,1192400,151.10
2013-12-10,153.57,155.57,153.42,154.40,969800,154.39
2013-12-09,156.37,156.75,154.18,154.51,1047200,154.50
2013-12-06,156.15,156.82,155.25,155.63,1246900,155.62
2013-12-05,155.19,156.43,155.13,155.62,808300,155.61
2013-12-04,155.03,155.31,153.04,154.89,704400,154.88
