Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,91.50,91.64,90.09,90.76,1694900,90.76
2013-12-31,91.62,92.31,91.59,92.22,993300,92.22
2013-12-30,91.65,91.99,91.18,91.50,980300,91.50
2013-12-27,92.50,92.68,91.74,91.83,913800,91.83
2013-12-26,91.96,92.60,91.72,92.43,867400,92.43
2013-12-24,91.50,91.99,91.23,91.91,477900,91.91
2013-12-23,91.69,92.18,91.08,91.50,1624300,91.50
2013-12-20,90.19,91.68,90.01,91.33,2995500,91.33
2013-12-19,90.01,90.72,89.78,90.17,2667100,90.17
2013-12-18,88.45,90.64,87.39,90.59,2735200,90.59
2013-12-17,88.68,88.78,87.64,87.95,1666000,87.95
2013-12-16,88.67,89.20,88.46,88.68,1516000,88.68
2013-12-13,88.46,88.96,87.87,88.19,1533300,88.19
2013-12-12,88.26,89.12,87.88,88.33,2507800,88.33
2013-12-11,88.94,89.31,87.88,88.06,2508500,88.06
2013-12-10,88.75,89.29,87.91,89.03,1513200,89.03
2013-12-09,88.94,89.82,88.65,88.98,2083900,88.98
2013-12-06,88.98,89.70,88.83,88.91,2202700,88.91
2013-12-05,87.56,88.39,87.03,87.70,2429000,87.70
2013-12-04,87.73,88.89,86.95,87.76,2052400,87.76
