Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,150.49,150.49,148.04,148.95,665500,148.95
2013-12-31,151.74,151.94,150.08,150.52,794400,150.52
2013-12-30,151.37,152.67,150.91,151.57,403500,151.57
2013-12-27,151.64,152.26,150.54,151.12,361800,151.12
2013-12-26,151.70,152.44,150.74,151.15,311100,151.15
2013-12-24,151.47,151.74,151.00,151.60,291500,151.60
2013-12-23,152.33,153.31,151.40,151.55,619400,151.55
2013-12-20,151.16,151.92,151.00,151.82,806000,151.82
2013-12-19,151.47,151.63,150.37,151.16,652600,151.16
2013-12-18,149.31,152.40,147.14,152.15,1036300,152.15
2013-12-17,149.84,150.29,148.25,149.52,867600,149.52
2013-12-16,150.64,151.59,149.48,151.01,917200,151.01
2013-12-13,150.09,152.07,149.38,149.54,749700,149.54
2013-12-12,150.33,151.13,149.67,149.71,835200,149.71
2013-12-11,153.61,153.64,150.47,150.55,1186500,150.55
2013-12-10,155.18,155.90,154.13,154.70,1107600,153.30
2013-12-09,154.00,155.35,153.37,155.20,910500,153.80
2013-12-06,152.41,154.22,151.95,154.00,859500,152.61
2013-12-05,151.94,152.53,150.57,151.15,600700,149.78
2013-12-04,149.02,153.11,148.51,151.93,1058000,150.56
