Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,135.76,137.66,135.49,136.58,817700,136.58
2013-12-31,134.73,136.31,134.44,136.02,437600,136.02
2013-12-30,134.38,135.09,133.54,134.69,349500,134.69
2013-12-27,134.79,135.53,134.06,134.50,321000,134.50
2013-12-26,134.42,136.32,134.02,134.97,352300,134.97
2013-12-24,134.45,134.95,133.50,134.44,209500,134.44
2013-12-23,132.00,134.72,132.00,134.39,810200,134.39
2013-12-20,131.67,131.79,130.75,130.88,1031500,130.88
2013-12-19,132.53,134.65,130.90,130.98,1070500,130.98
2013-12-18,131.07,132.74,130.00,132.63,832800,132.63
2013-12-17,130.80,132.31,130.39,131.41,1006000,131.41
2013-12-16,130.66,131.42,129.82,130.48,1135400,130.48
2013-12-13,128.39,129.17,126.97,129.06,743000,129.06
2013-12-12,130.00,130.16,127.93,128.00,1243000,128.00
2013-12-11,132.15,133.91,130.41,130.69,1240300,130.69
2013-12-10,125.72,134.33,125.72,131.87,2673500,131.87
2013-12-09,130.21,130.70,127.28,127.43,1848900,127.43
2013-12-06,132.57,132.72,129.43,130.11,1072900,130.11
2013-12-05,129.78,131.59,129.78,130.76,589000,130.76
2013-12-04,132.00,132.86,130.47,132.11,611300,132.11
