Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,31.37,31.57,31.25,31.29,959400,31.29
2013-12-31,31.32,31.60,31.27,31.56,885700,31.56
2013-12-30,31.32,31.41,31.16,31.21,999000,31.21
2013-12-27,31.41,31.54,31.23,31.33,734000,31.33
2013-12-26,31.20,31.43,31.15,31.29,653300,31.29
2013-12-24,31.03,31.27,30.95,31.16,542300,31.16
2013-12-23,30.86,31.05,30.67,31.00,1171200,31.00
2013-12-20,30.22,30.69,30.16,30.66,3743600,30.66
2013-12-19,30.35,30.38,30.06,30.28,2123000,30.28
2013-12-18,29.51,30.71,29.34,30.64,3395900,30.64
2013-12-17,28.99,29.19,28.86,29.17,1384900,29.17
2013-12-16,28.96,29.11,28.79,29.04,1003800,29.04
2013-12-13,28.83,28.89,28.58,28.73,997700,28.73
2013-12-12,29.04,29.07,28.62,28.82,1312100,28.82
2013-12-11,29.41,29.49,28.65,29.01,1979100,29.01
2013-12-10,29.52,29.79,29.35,29.38,1584500,29.38
2013-12-09,29.50,29.93,29.22,29.67,1491300,29.67
2013-12-06,30.03,31.00,29.52,29.54,2463900,29.54
2013-12-05,29.36,29.43,29.06,29.12,1185300,29.12
2013-12-04,29.24,29.64,29.09,29.36,1179300,29.36
