Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,182.95,182.95,175.00,176.53,2083400,176.53
2013-12-31,181.55,184.43,180.82,184.07,1090300,184.07
2013-12-30,187.23,187.46,181.67,181.70,1352200,181.70
2013-12-27,186.35,187.98,183.50,187.58,1288800,187.58
2013-12-26,184.39,186.90,183.42,186.32,853500,186.32
2013-12-24,184.79,186.00,182.93,183.84,635500,183.84
2013-12-23,187.63,190.13,184.29,185.19,2202200,185.19
2013-12-20,188.67,190.80,187.01,187.29,2263000,187.29
2013-12-19,183.53,188.85,183.41,187.55,1877300,187.55
2013-12-18,183.61,184.17,180.35,183.95,1576500,183.95
2013-12-17,179.52,183.44,177.35,182.43,1610800,182.43
2013-12-16,179.51,181.60,177.68,179.52,1214300,179.52
2013-12-13,179.15,180.26,175.53,179.75,1160500,179.75
2013-12-12,177.27,180.13,176.75,179.08,1037600,179.08
2013-12-11,177.58,179.61,175.45,176.43,1556800,176.43
2013-12-10,177.68,183.75,176.90,178.66,1486700,178.66
2013-12-09,177.62,180.63,174.35,177.44,1933300,177.44
2013-12-06,185.55,186.02,176.30,177.21,2213600,177.21
2013-12-05,184.03,186.70,182.88,184.44,1213400,184.44
2013-12-04,180.51,185.99,180.50,185.27,1486700,185.27
