Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,73.61,73.77,73.26,73.32,10110200,73.32
2013-12-31,73.76,74.32,73.64,74.25,5725100,74.25
2013-12-30,73.66,73.90,73.50,73.57,5389900,73.57
2013-12-27,73.75,74.02,73.66,73.80,5042300,73.80
2013-12-26,73.05,73.68,73.05,73.48,4609200,73.48
2013-12-24,72.67,73.25,72.64,73.04,2597500,73.04
2013-12-23,73.52,73.56,72.52,72.84,9156500,72.84
2013-12-20,72.41,73.04,72.24,72.91,21662500,72.91
2013-12-19,73.15,73.30,72.13,72.43,8790300,72.43
2013-12-18,72.70,73.21,71.68,73.18,9383500,73.18
2013-12-17,72.66,72.98,72.26,72.92,8615500,72.92
2013-12-16,73.22,73.26,72.50,72.79,9029400,72.79
2013-12-13,73.45,73.46,72.53,72.58,8723400,72.58
2013-12-12,73.00,73.42,72.49,72.73,7509600,72.73
2013-12-11,74.00,74.11,72.96,73.01,10018000,73.01
2013-12-10,73.30,73.84,73.09,73.38,10720800,73.38
2013-12-09,73.88,74.19,72.94,73.37,8881800,73.37
2013-12-06,73.60,73.97,73.10,73.76,6883800,73.76
2013-12-05,73.01,73.43,72.90,73.23,7728800,73.23
2013-12-04,73.02,73.50,72.85,73.18,6507100,73.18
