Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,30.47,30.68,29.98,30.18,1622200,30.18
2013-12-31,30.52,30.80,30.47,30.65,1276900,30.65
2013-12-30,30.80,31.10,30.51,30.58,1727400,30.58
2013-12-27,30.71,30.90,30.36,30.80,892900,30.80
2013-12-26,31.00,31.10,30.24,30.47,1429000,30.47
2013-12-24,30.52,31.05,30.43,30.97,712700,30.97
2013-12-23,30.22,30.90,30.22,30.51,2169600,30.51
2013-12-20,30.38,30.50,29.91,30.01,5960600,30.01
2013-12-19,30.07,30.52,29.94,30.46,1973400,30.46
2013-12-18,30.61,30.70,30.03,30.28,2757700,30.28
2013-12-17,30.81,30.81,30.32,30.59,2005000,30.59
2013-12-16,30.62,31.01,30.53,30.90,2440200,30.90
2013-12-13,29.77,30.80,29.68,30.69,3940200,30.69
2013-12-12,30.12,30.16,29.55,29.65,3788800,29.65
2013-12-11,30.80,30.98,29.95,30.06,2970800,30.06
2013-12-10,31.00,31.44,30.46,30.76,3470100,30.76
2013-12-09,31.50,31.58,29.60,30.96,5412400,30.96
2013-12-06,32.15,32.29,31.33,31.43,2132900,31.43
2013-12-05,32.06,32.20,31.65,31.79,3035800,31.79
2013-12-04,32.22,32.47,31.48,32.17,3974800,32.17
