Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,73.11,73.31,72.31,72.64,453500,72.64
2013-12-31,73.61,73.97,73.47,73.78,255100,73.78
2013-12-30,73.75,73.95,73.33,73.67,314700,73.67
2013-12-27,73.29,73.62,72.95,73.40,179200,73.40
2013-12-26,73.49,73.79,73.00,73.30,220000,73.30
2013-12-24,73.31,73.38,72.97,73.31,110600,73.31
2013-12-23,72.33,73.49,72.08,73.07,699000,73.07
2013-12-20,71.80,71.90,71.29,71.39,531900,71.39
2013-12-19,70.96,71.75,70.68,71.49,605100,71.49
2013-12-18,70.25,70.75,69.46,70.69,850300,70.69
2013-12-17,69.76,70.02,69.43,69.80,512000,69.80
2013-12-16,68.28,69.98,68.03,69.76,700000,69.76
2013-12-13,67.00,67.89,66.91,67.69,347200,67.69
2013-12-12,67.00,67.62,66.16,66.80,750100,66.80
2013-12-11,67.97,67.97,66.63,67.17,505500,67.17
2013-12-10,68.03,69.30,67.71,67.86,471700,67.86
2013-12-09,68.91,69.22,68.06,68.24,423900,68.24
2013-12-06,69.22,69.30,68.57,68.75,305200,68.75
2013-12-05,68.70,69.17,68.39,68.46,349900,68.46
2013-12-04,68.75,69.38,68.01,68.81,447400,68.81
