Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,50.05,50.07,49.05,49.27,1602800,49.27
2013-12-31,49.88,50.21,49.77,49.99,1080300,49.99
2013-12-30,49.96,50.00,49.48,49.78,1565700,49.78
2013-12-27,49.68,49.96,49.57,49.90,1333800,49.90
2013-12-26,49.25,49.59,49.20,49.48,860800,49.48
2013-12-24,48.90,49.46,48.88,49.23,1017900,49.23
2013-12-23,49.08,49.17,48.70,48.86,1444300,48.86
2013-12-20,48.85,48.96,48.74,48.77,3084200,48.77
2013-12-19,48.87,49.00,48.61,48.82,2291900,48.82
2013-12-18,48.75,48.95,48.01,48.80,4074200,48.80
2013-12-17,48.62,48.85,48.50,48.60,2193900,48.60
2013-12-16,49.07,49.10,48.68,48.72,2117100,48.72
2013-12-13,49.19,49.19,48.79,48.96,2138900,48.96
2013-12-12,49.84,50.07,49.05,49.11,4588100,49.11
2013-12-11,50.98,50.98,50.26,50.55,2230900,49.92
2013-12-10,51.22,51.25,50.60,50.81,2972500,50.18
2013-12-09,51.31,51.46,50.70,51.36,2334200,50.72
2013-12-06,50.72,51.35,50.69,51.26,1821500,50.62
2013-12-05,50.62,50.76,50.32,50.53,2106400,49.90
2013-12-04,49.99,50.79,49.96,50.63,2731600,50.00
