Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,35.07,35.17,34.29,34.35,1080900,34.35
2013-12-31,34.65,35.38,34.55,35.36,832600,35.36
2013-12-30,34.86,35.10,34.51,34.61,883800,34.61
2013-12-27,34.33,35.03,34.21,34.79,1238400,34.79
2013-12-26,34.49,34.60,34.05,34.17,685600,34.17
2013-12-24,33.93,34.48,33.86,34.36,369100,34.36
2013-12-23,33.83,34.07,33.73,33.85,932600,33.85
2013-12-20,32.82,33.72,32.82,33.69,1707600,33.69
2013-12-19,33.59,33.69,32.75,32.94,2152900,32.94
2013-12-18,33.97,34.25,33.17,33.79,1204900,33.79
2013-12-17,34.05,34.11,33.55,34.00,1318600,34.00
2013-12-16,33.72,34.11,33.68,33.97,1082600,33.97
2013-12-13,33.37,33.79,33.26,33.64,985900,33.64
2013-12-12,33.19,33.63,33.19,33.42,897300,33.42
2013-12-11,33.82,33.93,33.23,33.32,912600,33.32
2013-12-10,34.20,34.36,33.76,33.84,787800,33.84
2013-12-09,34.16,34.31,33.93,34.26,763500,34.26
2013-12-06,33.79,34.44,33.79,34.19,1386600,34.19
2013-12-05,34.74,34.74,34.01,34.04,1219500,34.04
2013-12-04,34.46,34.87,34.28,34.77,1114900,34.77
