Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,9.86,9.99,9.83,9.89,12170200,9.89
2013-12-31,9.84,9.93,9.81,9.89,6774500,9.89
2013-12-30,9.83,9.86,9.77,9.84,4707200,9.84
2013-12-27,9.90,9.90,9.80,9.83,4730400,9.83
2013-12-26,9.85,9.91,9.84,9.88,5327200,9.88
2013-12-24,9.81,9.87,9.77,9.85,3982800,9.85
2013-12-23,9.66,9.83,9.64,9.82,7419600,9.82
2013-12-20,9.64,9.72,9.58,9.63,17570900,9.63
2013-12-19,9.54,9.65,9.52,9.59,10970000,9.59
2013-12-18,9.58,9.62,9.44,9.60,18371400,9.60
2013-12-17,9.56,9.61,9.50,9.52,8037700,9.52
2013-12-16,9.61,9.63,9.54,9.57,8494400,9.57
2013-12-13,9.52,9.56,9.45,9.53,14538200,9.53
2013-12-12,9.41,9.61,9.39,9.52,14537900,9.52
2013-12-11,9.65,9.66,9.39,9.42,15199700,9.42
2013-12-10,9.62,9.67,9.35,9.56,26578100,9.53
2013-12-09,9.76,9.79,9.61,9.63,15019300,9.60
2013-12-06,9.69,9.82,9.68,9.71,16302600,9.68
2013-12-05,9.57,9.68,9.55,9.56,10329700,9.53
2013-12-04,9.56,9.82,9.55,9.67,15705500,9.64
