Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,41.72,41.90,41.36,41.37,749100,41.37
2013-12-31,42.05,42.33,41.85,41.99,453300,41.99
2013-12-30,41.93,42.17,41.82,42.00,643000,42.00
2013-12-27,42.26,42.26,41.79,41.92,635700,41.92
2013-12-26,42.02,42.25,41.73,42.10,435600,42.10
2013-12-24,41.76,42.25,41.69,41.98,396900,41.98
2013-12-23,41.34,41.76,41.10,41.69,892000,41.69
2013-12-20,39.95,41.24,39.82,41.16,1818500,41.16
2013-12-19,40.45,40.46,39.70,39.74,1244900,39.74
2013-12-18,40.52,40.64,39.63,40.45,1469200,40.45
2013-12-17,39.76,40.79,39.51,40.53,1256800,40.53
2013-12-16,39.20,40.04,39.20,39.82,642600,39.82
2013-12-13,39.38,39.73,39.26,39.32,629800,39.32
2013-12-12,39.34,39.53,39.22,39.32,944000,39.32
2013-12-11,39.91,39.91,39.26,39.38,776700,39.38
2013-12-10,40.00,40.22,39.85,39.92,1190500,39.92
2013-12-09,39.55,40.29,39.50,40.28,1311200,40.28
2013-12-06,38.73,39.52,38.72,39.32,795500,39.32
2013-12-05,38.73,38.79,38.26,38.29,969300,38.29
2013-12-04,38.16,38.73,38.06,38.67,931500,38.67
