Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,49.37,49.58,48.79,48.91,2704600,48.91
2013-12-31,48.93,49.43,48.81,49.42,2730400,49.42
2013-12-30,49.42,49.44,48.73,48.84,2985100,48.84
2013-12-27,48.60,49.25,48.46,48.86,2927700,48.86
2013-12-26,48.32,48.50,48.11,48.17,2156900,48.17
2013-12-24,47.30,48.47,47.25,48.12,1952900,48.12
2013-12-23,47.51,47.52,47.04,47.19,2383100,47.19
2013-12-20,46.85,47.30,46.83,47.00,5745600,47.00
2013-12-19,47.65,47.70,46.77,47.15,5818300,47.15
2013-12-18,47.96,48.15,47.33,48.02,4579300,48.02
2013-12-17,48.02,48.24,47.72,48.13,3386000,48.13
2013-12-16,48.10,48.42,48.05,48.21,3111900,48.21
2013-12-13,48.68,48.70,48.14,48.22,2459200,48.22
2013-12-12,48.46,48.89,48.23,48.63,2671900,48.63
2013-12-11,49.34,49.34,48.32,48.55,3858200,48.55
2013-12-10,49.45,49.60,49.09,49.25,3651500,49.25
2013-12-09,49.66,49.79,49.16,49.57,2898300,49.57
2013-12-06,49.90,49.97,49.52,49.77,3035300,49.77
2013-12-05,50.07,50.15,49.61,49.71,3178400,49.71
2013-12-04,49.82,50.47,49.76,50.29,3371200,50.29
