Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,83.13,84.28,81.08,81.74,1996500,81.74
2013-12-31,84.06,85.49,83.81,84.31,1255500,84.31
2013-12-30,84.00,84.78,83.43,83.63,932300,83.63
2013-12-27,83.32,83.89,82.76,83.56,793000,83.56
2013-12-26,83.59,83.81,82.54,83.58,674700,83.58
2013-12-24,82.88,83.78,82.48,83.43,473000,83.43
2013-12-23,83.59,83.99,82.69,83.08,1158400,83.08
2013-12-20,82.11,83.38,81.57,82.45,1881300,82.45
2013-12-19,81.11,82.82,80.65,81.78,2123500,81.78
2013-12-18,80.33,81.67,79.17,81.12,2394100,81.12
2013-12-17,80.48,80.48,77.93,79.76,2737800,79.76
2013-12-16,79.29,80.60,78.95,80.17,1388500,80.17
2013-12-13,80.00,80.20,78.74,79.69,1187900,79.69
2013-12-12,80.40,81.50,79.40,80.28,1313400,80.28
2013-12-11,81.47,81.81,79.77,80.02,1282300,79.98
2013-12-10,81.83,83.12,80.47,81.48,2065000,81.44
2013-12-09,79.55,82.12,79.04,82.08,2420400,82.04
2013-12-06,80.37,80.85,78.68,79.06,1965600,79.02
2013-12-05,76.60,79.42,76.15,79.40,2002500,79.36
2013-12-04,76.05,76.83,75.21,76.60,1592100,76.56
