Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,33.20,33.30,32.91,32.96,1808100,32.96
2013-12-31,33.29,33.37,33.12,33.20,1121400,33.20
2013-12-30,33.35,33.43,33.23,33.29,1295400,33.29
2013-12-27,33.75,33.77,33.53,33.58,1048100,33.58
2013-12-26,33.72,33.88,33.62,33.67,867500,33.67
2013-12-24,33.42,33.90,33.41,33.69,476100,33.69
2013-12-23,33.53,33.58,33.31,33.35,1164800,33.35
2013-12-20,33.00,33.56,32.94,33.29,2681200,33.29
2013-12-19,32.94,33.17,32.68,33.00,2104600,33.00
2013-12-18,33.34,33.35,32.45,32.98,4158900,32.98
2013-12-17,33.82,33.84,33.24,33.27,2107700,33.27
2013-12-16,34.00,34.03,33.67,33.88,1372000,33.88
2013-12-13,33.82,33.97,33.70,33.94,1033700,33.94
2013-12-12,33.81,34.06,33.65,33.73,1402200,33.73
2013-12-11,34.48,34.56,33.84,33.91,1633800,33.91
2013-12-10,34.46,34.81,34.43,34.53,1330600,34.53
2013-12-09,34.92,34.95,34.48,34.54,1482900,34.54
2013-12-06,34.75,34.99,34.68,34.90,905300,34.90
2013-12-05,34.44,34.64,34.36,34.47,945800,34.47
2013-12-04,34.49,34.56,34.14,34.51,1105300,34.51
