Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,47.17,47.30,45.97,46.03,1001900,46.03
2013-12-31,47.07,47.14,46.77,46.93,734000,46.93
2013-12-30,47.02,47.32,46.83,46.90,632200,46.90
2013-12-27,47.14,47.27,46.87,46.96,529900,46.96
2013-12-26,47.34,47.40,46.85,47.05,451100,47.05
2013-12-24,47.12,47.46,46.93,47.28,177700,47.28
2013-12-23,47.37,47.64,47.07,47.11,721800,47.11
2013-12-20,47.10,47.51,46.99,47.25,2157400,47.25
2013-12-19,47.31,47.34,46.69,47.02,829500,47.02
2013-12-18,46.64,47.50,46.25,47.45,1059500,47.45
2013-12-17,46.74,46.90,46.55,46.62,801700,46.62
2013-12-16,46.74,47.19,46.72,46.80,1081200,46.80
2013-12-13,46.54,46.76,46.37,46.54,830200,46.54
2013-12-12,46.29,46.73,46.26,46.42,1186100,46.42
2013-12-11,46.75,47.04,46.24,46.29,1013700,46.29
2013-12-10,47.30,47.56,46.76,46.83,1680700,46.83
2013-12-09,47.49,47.69,47.25,47.37,977300,47.37
2013-12-06,47.04,47.64,46.74,47.64,723700,47.64
2013-12-05,47.49,47.67,47.13,47.35,906100,46.84
2013-12-04,47.09,47.75,46.85,47.61,989800,47.10
