Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,35.49,35.56,34.93,35.16,2580000,35.16
2013-12-31,35.32,35.74,35.27,35.62,3303500,35.62
2013-12-30,34.97,35.26,34.91,35.15,2149400,35.15
2013-12-27,34.71,35.05,34.64,34.92,1411900,34.92
2013-12-26,34.44,34.96,34.44,34.83,1551000,34.83
2013-12-24,34.46,34.56,34.34,34.47,763100,34.47
2013-12-23,34.30,34.76,34.24,34.47,2441900,34.47
2013-12-20,33.98,34.30,33.68,34.16,6771300,34.16
2013-12-19,33.54,34.05,33.48,33.89,3180600,33.89
2013-12-18,33.05,33.63,32.87,33.61,3566900,33.61
2013-12-17,33.14,33.25,32.80,33.00,2897600,33.00
2013-12-16,33.51,33.51,33.10,33.20,3063300,33.20
2013-12-13,33.30,33.51,33.13,33.22,2760800,33.22
2013-12-12,33.06,33.44,32.93,33.35,3310900,33.35
2013-12-11,33.52,33.53,33.05,33.13,3736300,33.13
2013-12-10,33.96,34.16,33.43,33.46,4524900,33.46
2013-12-09,34.10,34.42,34.00,34.16,3342600,34.16
2013-12-06,33.52,33.99,33.26,33.98,3603600,33.98
2013-12-05,33.38,33.41,33.00,33.27,2424500,33.27
2013-12-04,33.44,33.61,32.83,33.38,3484800,33.38
