Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,34.02,34.04,33.46,33.73,1112000,33.73
2013-12-31,34.27,34.27,33.78,34.05,781500,34.05
2013-12-30,33.75,34.37,33.66,34.13,853900,34.13
2013-12-27,34.13,34.13,33.65,33.82,552200,33.82
2013-12-26,34.01,34.11,33.62,33.96,1115400,33.96
2013-12-24,33.20,34.00,33.20,33.99,861700,33.99
2013-12-23,33.13,33.16,32.88,33.09,966400,33.09
2013-12-20,32.79,33.14,32.53,32.95,1919900,32.95
2013-12-19,32.34,32.66,32.21,32.55,1069900,32.55
2013-12-18,31.75,32.49,31.38,32.38,1784300,32.38
2013-12-17,31.84,32.03,31.56,31.73,1358600,31.73
2013-12-16,32.11,32.30,31.74,31.98,1800800,31.98
2013-12-13,31.71,32.24,31.63,31.85,1730900,31.85
2013-12-12,31.39,31.70,31.28,31.55,1117200,31.55
2013-12-11,32.38,32.54,31.29,31.39,1789400,31.39
2013-12-10,32.04,32.79,31.91,32.52,1524000,32.52
2013-12-09,32.52,32.65,31.99,32.13,980300,32.13
2013-12-06,31.80,32.63,31.64,32.52,1498300,32.52
2013-12-05,31.80,31.96,31.35,31.46,1383900,31.46
2013-12-04,31.56,32.03,31.40,31.93,1383700,31.93
