Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,182.03,183.00,180.69,182.41,515700,182.41
2013-12-31,182.66,183.80,182.62,183.50,344900,183.50
2013-12-30,182.49,183.30,181.86,182.25,314700,182.25
2013-12-27,183.28,183.69,181.82,182.50,294100,182.50
2013-12-26,183.34,183.51,182.21,182.82,200700,182.82
2013-12-24,181.38,182.99,180.91,182.69,207000,182.69
2013-12-23,180.90,182.18,177.32,181.42,833600,181.42
2013-12-20,181.18,183.04,179.78,182.15,992300,182.15
2013-12-19,179.93,180.66,178.54,180.15,442800,180.15
2013-12-18,177.09,180.00,175.79,179.92,1056800,179.92
2013-12-17,172.28,178.32,170.63,177.31,1397100,177.31
2013-12-16,178.67,179.39,176.84,177.31,523700,177.31
2013-12-13,179.44,180.19,177.53,177.97,571700,177.97
2013-12-12,179.77,180.00,177.67,179.44,1062000,179.44
2013-12-11,184.46,184.46,180.79,181.19,687000,181.19
2013-12-10,185.64,187.50,184.50,184.69,773400,184.69
2013-12-09,184.83,187.33,184.83,185.52,633800,185.52
2013-12-06,183.18,186.27,182.43,184.83,580900,184.83
2013-12-05,180.20,182.71,180.04,181.73,534000,181.73
2013-12-04,178.40,181.66,177.80,181.08,907600,181.08
