Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,89.48,90.12,88.61,88.82,4958100,88.82
2013-12-31,89.50,90.21,89.07,90.11,3397400,90.11
2013-12-30,89.97,90.26,89.14,89.17,4028500,89.17
2013-12-27,89.54,89.99,89.05,89.90,3488600,89.90
2013-12-26,88.48,89.56,88.40,89.39,3640400,89.39
2013-12-24,87.53,88.50,87.37,88.31,1849900,88.31
2013-12-23,87.88,88.13,87.27,87.32,5214500,87.32
2013-12-20,86.51,87.76,86.00,87.27,9322500,87.27
2013-12-19,87.04,87.08,85.65,86.47,6374800,86.47
2013-12-18,85.58,87.31,84.91,87.26,8964100,87.26
2013-12-17,87.03,87.52,85.45,85.54,7263300,85.54
2013-12-16,86.99,87.13,86.15,87.00,5083600,87.00
2013-12-13,87.38,87.51,85.85,86.37,6089300,86.37
2013-12-12,86.23,87.64,85.97,86.96,5923400,86.96
2013-12-11,87.00,87.48,85.90,86.14,5343800,86.14
2013-12-10,87.70,88.10,86.85,87.01,4867100,87.01
2013-12-09,88.52,88.52,86.94,88.03,5066900,88.03
2013-12-06,88.10,88.53,87.77,88.15,6102400,88.15
2013-12-05,86.74,87.91,86.56,86.87,5986200,86.87
2013-12-04,87.37,87.90,86.50,87.28,6694500,87.28
