Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,26.24,26.29,25.91,26.02,2405100,26.02
2013-12-31,26.17,26.40,26.16,26.28,2198500,26.28
2013-12-30,26.00,26.10,25.88,26.07,1858500,26.07
2013-12-27,26.06,26.06,25.96,26.01,993600,26.01
2013-12-26,26.20,26.22,25.74,26.05,1708500,26.05
2013-12-24,25.92,26.13,25.92,26.05,816800,26.05
2013-12-23,26.22,26.22,25.90,25.95,2548700,25.95
2013-12-20,26.00,26.08,25.76,25.95,3484700,25.95
2013-12-19,25.98,26.03,25.85,25.94,3236000,25.94
2013-12-18,25.58,26.04,25.38,26.00,3471100,26.00
2013-12-17,25.78,25.79,25.41,25.58,3342300,25.58
2013-12-16,25.84,25.97,25.60,25.76,2493000,25.76
2013-12-13,25.70,25.88,25.59,25.76,2609200,25.76
2013-12-12,25.73,25.80,25.18,25.58,5898800,25.58
2013-12-11,26.45,26.47,25.79,25.79,9779200,25.79
2013-12-10,26.46,26.80,26.33,26.35,3290400,26.35
2013-12-09,26.53,26.77,26.50,26.66,3314300,26.66
2013-12-06,26.47,26.52,26.16,26.44,3747200,26.44
2013-12-05,26.52,26.61,26.13,26.15,2399400,26.15
2013-12-04,26.28,26.58,26.17,26.55,2509600,26.55
