Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,70.02,70.34,69.02,69.38,3046400,69.38
2013-12-31,70.28,70.80,70.01,70.54,1889900,70.54
2013-12-30,70.28,70.46,69.74,70.07,1280100,70.07
2013-12-27,70.64,70.69,69.81,70.24,1453200,70.24
2013-12-26,70.33,70.82,70.25,70.49,1162200,70.49
2013-12-24,70.12,70.73,69.59,70.34,1081700,70.34
2013-12-23,69.92,70.66,69.26,70.26,2630900,70.26
2013-12-20,68.72,70.00,68.66,69.51,5160000,69.51
2013-12-19,68.63,68.95,68.02,68.66,2688600,68.66
2013-12-18,67.99,68.85,66.89,68.77,3616200,68.77
2013-12-17,67.32,68.50,67.04,68.12,3596700,68.12
2013-12-16,66.88,67.49,66.52,66.97,4130600,66.97
2013-12-13,66.05,66.95,65.73,66.27,4278300,66.27
2013-12-12,66.17,66.35,64.50,65.58,6417100,65.58
2013-12-11,68.53,68.80,67.33,67.37,3214700,67.37
2013-12-10,68.78,69.82,68.55,68.96,2660200,68.96
2013-12-09,68.29,69.40,68.04,69.07,4354200,69.07
2013-12-06,67.42,68.05,67.31,67.97,2872900,67.97
2013-12-05,67.42,67.83,66.75,66.86,3314200,66.86
2013-12-04,67.74,68.34,66.76,67.40,3785300,67.40
