Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,85.68,86.62,85.04,85.48,582000,85.48
2013-12-31,86.06,86.41,85.61,86.41,377800,86.41
2013-12-30,84.88,86.22,84.78,86.19,420200,86.19
2013-12-27,85.00,85.02,84.43,84.66,245500,84.66
2013-12-26,84.61,85.03,84.16,84.92,464300,84.92
2013-12-24,84.34,84.65,83.96,84.24,400800,84.24
2013-12-23,83.92,84.38,83.62,84.03,579400,84.03
2013-12-20,83.67,84.75,83.39,83.69,1188500,83.69
2013-12-19,82.86,84.27,82.74,83.36,1140200,83.36
2013-12-18,81.51,82.97,81.08,82.91,660100,82.91
2013-12-17,81.35,81.56,80.61,81.37,746800,81.37
2013-12-16,81.10,81.56,80.33,81.47,1676600,81.47
2013-12-13,80.42,81.03,79.79,80.73,1023900,80.73
2013-12-12,80.22,81.01,79.15,80.33,1583000,80.33
2013-12-11,79.50,85.73,79.10,81.00,7623800,81.00
2013-12-10,74.53,75.38,74.37,75.25,986400,75.25
2013-12-09,74.24,74.83,73.40,74.74,741200,74.74
2013-12-06,73.63,74.12,73.14,73.99,627400,73.99
2013-12-05,72.72,73.36,72.30,72.85,797600,72.85
2013-12-04,72.83,73.79,72.46,72.66,1004700,72.66
