Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,41.13,41.13,40.59,40.69,5512000,40.69
2013-12-31,41.04,41.20,40.88,41.11,4239700,41.11
2013-12-30,40.81,41.13,40.77,41.00,4644200,41.00
2013-12-27,40.71,40.95,40.61,40.86,3355500,40.86
2013-12-26,40.96,41.06,40.67,40.75,2956800,40.75
2013-12-24,40.79,41.12,40.63,40.96,1392900,40.96
2013-12-23,41.13,41.25,40.85,40.88,4092900,40.88
2013-12-20,40.87,41.25,40.79,41.06,7506700,41.06
2013-12-19,41.00,41.00,40.41,40.79,5585400,40.79
2013-12-18,40.37,41.21,40.16,41.01,7686000,41.01
2013-12-17,40.38,40.54,40.16,40.31,4259400,40.31
2013-12-16,40.24,40.62,40.23,40.38,3872300,40.38
2013-12-13,40.29,40.37,40.03,40.12,3481800,40.12
2013-12-12,40.20,40.48,40.03,40.20,6265800,40.20
2013-12-11,40.42,40.57,40.18,40.28,8198300,40.28
2013-12-10,41.01,41.02,40.42,40.46,8008600,40.46
2013-12-09,41.32,41.32,40.81,41.04,6119000,41.04
2013-12-06,41.31,41.71,41.10,41.43,4506500,41.43
2013-12-05,40.97,41.17,40.74,40.94,5459500,40.94
2013-12-04,40.84,41.11,40.45,41.09,4719000,41.09
