Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,152.39,153.27,151.02,152.09,1378500,152.09
2013-12-31,153.43,153.88,151.61,152.16,1558900,152.16
2013-12-30,153.52,154.90,153.02,153.40,879500,153.40
2013-12-27,153.25,153.64,152.43,153.22,1120400,153.22
2013-12-26,154.32,155.48,153.50,154.23,691500,154.23
2013-12-24,154.38,154.95,153.26,154.12,435500,154.12
2013-12-23,155.48,155.86,153.61,153.96,1370100,153.96
2013-12-20,153.68,154.79,153.43,154.71,2360400,154.71
2013-12-19,154.90,154.97,152.75,154.00,1727800,154.00
2013-12-18,152.33,155.74,150.85,155.07,2581500,155.07
2013-12-17,152.01,153.05,151.73,152.60,1523200,152.60
2013-12-16,151.55,152.46,150.33,152.28,1750900,152.28
2013-12-13,151.83,155.01,151.19,151.63,2480000,151.63
2013-12-12,150.50,150.70,148.36,148.37,1568000,148.37
2013-12-11,153.37,153.82,150.38,150.44,1556700,150.44
2013-12-10,153.95,154.58,153.08,153.12,1221600,153.12
2013-12-09,153.00,153.82,151.75,153.74,1223900,153.74
2013-12-06,152.04,152.78,151.19,152.75,1283100,152.75
2013-12-05,148.91,151.03,148.20,150.80,1520900,150.80
2013-12-04,147.63,149.96,147.55,149.36,1222400,149.36
