Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,15.90,16.00,15.56,15.59,7742900,15.59
2013-12-31,15.97,16.04,15.80,15.89,3562400,15.89
2013-12-30,15.86,16.01,15.84,15.97,3651600,15.97
2013-12-27,15.87,15.95,15.70,15.79,6445800,15.79
2013-12-26,15.92,16.00,15.83,15.89,3231500,15.89
2013-12-24,15.69,16.00,15.55,15.91,3565700,15.91
2013-12-23,15.68,16.02,15.61,15.93,7438400,15.81
2013-12-20,15.69,15.90,15.60,15.73,13684200,15.61
2013-12-19,15.46,15.67,15.46,15.58,5218600,15.46
2013-12-18,15.21,15.69,15.17,15.62,9505400,15.50
2013-12-17,15.37,15.43,14.98,15.22,12590500,15.11
2013-12-16,15.55,15.70,15.37,15.41,7788200,15.29
2013-12-13,15.60,15.71,15.43,15.43,7729900,15.31
2013-12-12,15.83,15.97,15.49,15.51,12045200,15.39
2013-12-11,16.12,16.18,15.82,15.88,7174300,15.76
2013-12-10,15.99,16.21,15.89,16.15,7979700,16.03
2013-12-09,15.99,16.12,15.90,16.04,9214400,15.92
2013-12-06,15.87,16.00,15.68,15.96,14848200,15.84
2013-12-05,15.38,15.77,15.31,15.67,8691000,15.55
2013-12-04,15.40,15.79,15.39,15.40,8744900,15.28
