Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,61.70,62.22,61.48,61.71,2001900,61.71
2013-12-31,62.08,62.26,61.76,61.95,1860700,61.95
2013-12-30,62.23,62.44,61.77,61.94,1718600,61.94
2013-12-27,62.76,63.00,62.07,62.25,1532400,62.25
2013-12-26,62.62,63.15,61.73,62.74,1702100,62.49
2013-12-24,62.36,62.92,62.25,62.51,531400,62.26
2013-12-23,61.95,62.53,61.75,62.43,1989900,62.18
2013-12-20,60.99,61.93,60.83,61.89,3616500,61.64
2013-12-19,60.15,61.12,60.05,60.82,2198400,60.58
2013-12-18,59.05,60.78,58.87,60.51,3592800,60.27
2013-12-17,58.60,59.63,58.48,59.42,2167600,59.18
2013-12-16,58.92,59.56,58.92,59.04,2470900,58.80
2013-12-13,57.92,58.21,57.32,57.99,2379600,57.76
2013-12-12,58.74,58.97,57.30,58.01,2784700,57.78
2013-12-11,59.34,59.64,58.03,58.15,3281900,57.92
2013-12-10,59.13,59.69,59.08,59.41,1676700,59.17
2013-12-09,59.72,59.96,59.00,59.11,1903800,58.87
2013-12-06,58.80,59.85,58.80,59.75,2183800,59.51
2013-12-05,58.21,58.37,57.75,58.08,1579800,57.85
2013-12-04,59.45,59.72,57.88,58.37,2838800,58.14
