Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,70.02,70.22,68.84,69.24,1070500,69.24
2013-12-31,70.00,70.58,69.83,70.38,907900,70.38
2013-12-30,69.99,70.37,69.49,69.74,1278500,69.74
2013-12-27,70.50,70.53,69.74,70.07,568800,70.07
2013-12-26,69.98,70.32,69.55,70.10,502600,70.10
2013-12-24,69.71,70.03,69.62,69.71,252100,69.71
2013-12-23,69.97,70.16,69.40,69.69,963500,69.69
2013-12-20,69.57,70.16,69.17,69.70,1712800,69.70
2013-12-19,69.80,69.93,69.15,69.48,1386200,69.48
2013-12-18,70.42,70.57,68.17,69.88,2239800,69.88
2013-12-17,70.57,70.76,69.82,70.17,720000,70.17
2013-12-16,69.72,70.94,69.72,70.57,1153500,70.57
2013-12-13,70.24,70.47,69.02,69.32,1215600,69.32
2013-12-12,69.94,70.35,69.41,70.09,1107700,70.09
2013-12-11,71.22,71.62,69.88,70.08,1666600,70.08
2013-12-10,70.49,71.28,70.31,70.98,1397000,70.98
2013-12-09,70.81,71.42,70.60,70.61,797100,70.61
2013-12-06,70.48,71.07,70.45,70.65,1018100,70.65
2013-12-05,71.37,71.37,69.66,70.08,1513000,70.08
2013-12-04,70.78,71.44,70.30,71.28,1237700,71.28
