Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,80.57,80.79,79.68,80.18,715600,80.18
2013-12-31,81.25,81.49,80.19,80.69,975800,80.69
2013-12-30,81.00,81.30,80.90,81.25,1250700,81.25
2013-12-27,81.05,81.11,80.84,81.01,1133000,81.01
2013-12-26,80.93,81.14,80.55,81.04,1249200,81.04
2013-12-24,81.12,81.29,80.40,80.65,697500,80.65
2013-12-23,81.29,81.53,80.64,80.95,1588300,80.95
2013-12-20,80.83,81.32,80.49,80.56,2429900,80.56
2013-12-19,80.54,81.11,80.45,80.73,1859100,80.73
2013-12-18,80.02,80.90,79.05,80.55,1860000,80.55
2013-12-17,80.22,80.52,79.63,79.77,1192900,79.77
2013-12-16,80.55,81.02,79.91,80.03,1805000,80.03
2013-12-13,80.76,81.17,79.99,80.48,995800,80.48
2013-12-12,79.77,81.03,79.36,80.55,2708700,80.55
2013-12-11,80.46,80.80,78.97,79.35,1989800,79.35
2013-12-10,80.87,81.30,80.51,80.71,1177200,80.71
2013-12-09,80.58,81.11,80.43,80.90,874100,80.90
2013-12-06,80.73,81.37,80.54,80.71,957900,80.71
2013-12-05,79.36,80.11,79.29,79.77,1427200,79.77
2013-12-04,78.99,80.60,78.87,79.59,1181300,79.59
