Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,32.45,32.74,32.35,32.46,2041300,32.46
2013-12-31,32.84,32.84,32.44,32.57,1246900,32.57
2013-12-30,32.50,32.98,32.38,32.71,1245500,32.71
2013-12-27,32.66,32.95,32.31,32.50,1273100,32.50
2013-12-26,32.76,33.00,32.41,32.69,1265500,32.69
2013-12-24,32.51,32.89,32.33,32.67,845100,32.67
2013-12-23,33.31,33.49,32.55,32.58,3374900,32.58
2013-12-20,32.83,33.32,32.83,33.08,4573200,33.08
2013-12-19,32.73,33.03,32.53,32.82,1967700,32.82
2013-12-18,32.60,32.93,32.11,32.88,3828300,32.88
2013-12-17,32.45,32.68,32.14,32.47,3099500,32.47
2013-12-16,33.54,33.74,32.64,32.72,4461200,32.52
2013-12-13,33.67,33.70,33.33,33.52,2991700,33.32
2013-12-12,33.32,33.95,33.32,33.69,2825000,33.48
2013-12-11,33.40,33.65,33.28,33.45,3716100,33.25
2013-12-10,32.74,33.50,32.70,33.24,4088500,33.04
2013-12-09,33.18,33.20,32.65,32.74,3985200,32.54
2013-12-06,32.88,33.22,32.71,33.07,4171900,32.87
2013-12-05,33.50,33.67,32.42,32.64,7557200,32.44
2013-12-04,34.72,35.10,34.10,34.21,5462600,34.00
