Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,36.90,36.90,35.82,35.92,6722500,35.92
2013-12-31,36.30,36.48,36.03,36.10,3690900,36.10
2013-12-30,36.72,36.99,36.60,36.66,3234600,36.37
2013-12-27,36.52,37.06,36.52,36.82,3866100,36.53
2013-12-26,36.41,36.60,36.32,36.53,2027100,36.24
2013-12-24,36.53,36.71,36.44,36.47,1339700,36.18
2013-12-23,36.74,36.75,36.33,36.49,2777300,36.20
2013-12-20,36.31,36.82,36.23,36.45,5395900,36.16
2013-12-19,36.25,36.38,35.90,36.26,3780300,35.97
2013-12-18,36.16,36.28,35.56,36.27,4879100,35.98
2013-12-17,36.26,36.33,35.63,36.03,4553900,35.74
2013-12-16,36.32,36.54,36.02,36.20,3773200,35.91
2013-12-13,36.29,36.42,35.98,36.28,4718400,35.99
2013-12-12,36.79,37.00,35.93,36.23,10397300,35.94
2013-12-11,37.17,37.46,36.68,36.96,6531800,36.67
2013-12-10,36.97,37.76,36.26,36.96,18782400,36.67
2013-12-09,43.05,43.40,36.69,37.62,71683900,37.32
2013-12-06,33.79,34.31,33.79,34.31,3388600,34.04
2013-12-05,33.53,33.75,33.41,33.57,2818400,33.30
2013-12-04,33.58,33.76,33.34,33.63,2173200,33.36
