Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,35.24,35.29,34.95,34.95,20229900,34.95
2013-12-31,35.17,35.28,34.96,35.16,18425400,35.16
2013-12-30,35.03,35.30,35.01,35.20,14464600,35.20
2013-12-27,35.06,35.25,34.96,35.18,14111600,35.18
2013-12-26,34.98,35.18,34.94,35.16,11024400,35.16
2013-12-24,34.74,34.98,34.70,34.95,7960000,34.95
2013-12-23,34.46,34.77,34.42,34.69,19896900,34.69
2013-12-20,34.49,34.62,34.26,34.30,34009100,34.30
2013-12-19,34.29,34.47,34.13,34.45,20043000,34.45
2013-12-18,33.88,34.44,33.63,34.38,25849700,34.38
2013-12-17,34.20,34.29,33.76,33.85,23456800,33.85
2013-12-16,34.06,34.51,34.06,34.15,21337800,34.15
2013-12-13,33.88,33.95,33.60,33.85,24862800,33.85
2013-12-12,34.05,34.13,33.75,33.89,21915100,33.89
2013-12-11,34.40,34.45,33.92,33.95,27263700,33.95
2013-12-10,34.79,34.91,34.39,34.40,18389100,34.40
2013-12-09,34.51,34.73,34.27,34.69,18035700,34.69
2013-12-06,34.53,34.58,34.30,34.53,19544900,34.53
2013-12-05,34.42,34.56,34.21,34.25,25106700,34.25
2013-12-04,34.34,34.65,34.20,34.60,27183000,34.60
