Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,45.33,45.59,44.65,44.73,2159000,44.73
2013-12-31,44.82,45.90,44.82,45.49,1533200,45.49
2013-12-30,44.51,44.91,44.07,44.70,1547300,44.70
2013-12-27,44.82,45.64,44.69,44.76,1260100,44.76
2013-12-26,44.26,44.92,44.17,44.69,1008500,44.69
2013-12-24,44.28,44.73,44.14,44.35,392100,44.35
2013-12-23,44.91,45.12,43.91,44.30,1914700,44.30
2013-12-20,42.26,44.86,42.26,44.78,4818600,44.78
2013-12-19,41.90,42.49,41.89,42.18,1953000,42.18
2013-12-18,41.99,41.99,41.19,41.89,2852100,41.89
2013-12-17,41.78,42.35,41.46,41.73,2268600,41.73
2013-12-16,40.86,41.72,40.81,41.62,2289400,41.62
2013-12-13,39.65,41.18,39.52,40.99,3132900,40.99
2013-12-12,39.46,39.76,39.16,39.52,4137600,39.52
2013-12-11,41.12,41.17,39.83,40.06,5713900,40.06
2013-12-10,41.84,41.90,41.14,41.15,3034300,41.15
2013-12-09,41.96,42.39,41.78,41.97,2392200,41.97
2013-12-06,41.84,42.34,41.83,41.88,3246600,41.88
2013-12-05,42.49,42.50,41.53,41.60,3488700,41.60
2013-12-04,43.33,43.92,42.00,42.53,10007200,42.53
