Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,63.53,64.17,63.14,63.18,7400100,63.18
2013-12-31,62.57,63.80,62.50,63.27,6783400,63.27
2013-12-30,62.45,62.50,61.91,62.47,3683000,62.47
2013-12-27,62.79,62.79,61.99,62.15,3260100,62.15
2013-12-26,61.74,62.59,61.74,62.48,3971800,62.48
2013-12-24,61.60,61.75,61.26,61.71,3356300,61.71
2013-12-23,62.00,62.15,61.53,61.88,5720200,61.88
2013-12-20,62.12,62.66,62.02,62.49,6850600,62.49
2013-12-19,62.22,62.89,61.98,62.15,7901900,62.15
2013-12-18,62.52,63.59,62.43,63.55,8304600,63.55
2013-12-17,62.12,62.15,61.44,61.65,5310800,61.65
2013-12-16,62.44,62.51,61.73,62.17,4768700,62.17
2013-12-13,63.23,63.24,62.29,62.36,4751000,62.36
2013-12-12,62.94,63.24,62.75,62.89,4029200,62.89
2013-12-11,63.32,63.48,62.85,62.93,3035200,62.93
2013-12-10,63.26,63.46,62.96,63.16,4028900,63.16
2013-12-09,63.34,63.81,63.17,63.24,5853800,63.24
2013-12-06,62.98,63.57,62.91,63.38,6381600,63.38
2013-12-05,63.05,63.75,62.60,62.63,8368500,62.63
2013-12-04,62.45,63.58,62.20,63.31,9442300,63.31
