Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,41.97,43.83,41.73,43.12,2306500,43.12
2013-12-31,41.60,42.49,41.43,42.12,1585800,42.12
2013-12-30,40.80,41.71,40.43,41.55,1049900,41.55
2013-12-27,41.02,41.14,40.68,40.89,633300,40.89
2013-12-26,40.91,41.12,40.39,40.84,768400,40.84
2013-12-24,39.95,41.15,39.93,40.91,637000,40.91
2013-12-23,40.47,41.30,39.59,39.81,3173400,39.81
2013-12-20,39.89,40.75,39.53,40.31,2574000,40.31
2013-12-19,40.81,40.81,39.42,39.85,3282600,39.85
2013-12-18,40.02,41.32,39.90,40.92,3782500,40.92
2013-12-17,40.43,40.48,38.71,39.86,3558100,39.86
2013-12-16,40.42,40.90,40.42,40.61,1143100,40.61
2013-12-13,40.46,40.87,40.32,40.34,1024400,40.34
2013-12-12,40.54,40.89,39.71,40.42,1391300,40.42
2013-12-11,42.50,42.60,40.47,40.78,3601900,40.78
2013-12-10,42.58,43.00,42.55,42.55,1039800,42.55
2013-12-09,42.82,42.98,42.53,42.77,891400,42.77
2013-12-06,43.14,43.48,42.62,42.70,1400500,42.70
2013-12-05,42.94,43.03,42.45,42.73,903500,42.73
2013-12-04,42.95,43.35,42.46,43.07,1012600,43.07
