Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,92.20,93.64,92.04,92.55,862000,92.55
2013-12-31,92.26,93.02,91.87,92.78,635300,92.78
2013-12-30,91.43,92.18,90.91,92.09,689000,92.09
2013-12-27,91.40,92.00,90.61,90.87,560300,90.87
2013-12-26,91.08,91.18,90.59,90.97,497500,90.97
2013-12-24,90.50,91.41,90.39,91.03,288100,91.03
2013-12-23,89.50,91.37,89.49,90.50,1267200,90.50
2013-12-20,90.83,91.38,90.47,90.62,1081200,90.62
2013-12-19,90.85,91.20,90.29,90.43,806200,90.43
2013-12-18,90.24,91.51,88.97,91.47,1166200,91.47
2013-12-17,90.86,90.97,89.93,90.32,891200,89.98
2013-12-16,89.16,91.10,89.16,90.85,962500,90.51
2013-12-13,89.30,89.78,88.84,89.31,611400,88.97
2013-12-12,89.21,89.50,88.63,89.20,678900,88.86
2013-12-11,90.04,90.30,88.87,89.10,885500,88.76
2013-12-10,90.00,90.52,89.49,90.09,692300,89.75
2013-12-09,89.86,90.93,89.86,90.33,868000,89.99
2013-12-06,90.46,90.55,88.86,89.70,1087500,89.36
2013-12-05,89.92,90.74,88.97,89.70,1500600,89.36
2013-12-04,88.12,89.47,88.00,88.58,871000,88.25
