Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,63.36,64.33,63.19,63.48,2098500,63.48
2013-12-31,63.32,63.80,63.25,63.73,1628100,63.73
2013-12-30,63.43,63.72,62.99,63.32,1761300,63.32
2013-12-27,63.75,63.78,63.12,63.38,1652200,63.38
2013-12-26,63.20,63.81,63.18,63.65,1606400,63.65
2013-12-24,62.99,63.38,62.86,63.03,1169600,63.03
2013-12-23,62.84,62.99,62.46,62.71,2127900,62.71
2013-12-20,62.57,63.14,62.36,62.49,5139100,62.49
2013-12-19,62.28,62.58,61.96,62.55,3153700,62.55
2013-12-18,61.40,62.52,61.09,62.50,3623800,62.50
2013-12-17,61.83,61.94,61.36,61.36,2450400,61.36
2013-12-16,61.41,61.84,61.09,61.62,2879800,61.62
2013-12-13,61.52,61.54,61.10,61.17,2938000,61.17
2013-12-12,61.42,61.86,61.08,61.25,3382500,61.25
2013-12-11,62.35,62.43,61.26,61.35,3668100,61.35
2013-12-10,62.00,62.48,61.90,62.18,3296400,62.18
2013-12-09,63.48,63.48,61.91,62.06,3968000,62.06
2013-12-06,62.72,62.76,61.87,62.34,3329300,62.34
2013-12-05,62.57,62.91,62.18,62.23,3354800,62.23
2013-12-04,62.05,62.81,61.63,62.61,5179400,62.61
