Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,82.48,82.50,79.40,80.48,1995600,80.48
2013-12-31,81.84,82.89,81.38,82.83,814100,82.83
2013-12-30,81.46,81.98,80.76,81.67,801200,81.67
2013-12-27,83.82,83.89,81.45,81.64,892500,81.64
2013-12-26,82.95,84.12,82.85,83.47,1369300,83.47
2013-12-24,83.58,83.65,82.10,82.82,583800,82.82
2013-12-23,83.78,83.80,82.55,83.40,936900,83.40
2013-12-20,82.44,83.70,81.63,83.13,6376000,83.13
2013-12-19,81.40,82.88,81.27,82.02,1413100,82.02
2013-12-18,80.90,81.60,78.67,81.41,3046000,81.41
2013-12-17,80.63,81.63,79.73,80.90,2356200,80.90
2013-12-16,82.05,83.20,81.54,81.89,1858900,81.89
2013-12-13,82.71,83.32,81.27,81.38,1596800,81.38
2013-12-12,82.84,83.91,82.13,82.60,2181200,82.60
2013-12-11,84.86,85.26,82.32,82.79,1754600,82.79
2013-12-10,84.82,85.90,84.52,84.98,1746800,84.98
2013-12-09,85.75,87.00,84.13,84.77,2298400,84.77
2013-12-06,86.76,87.97,84.67,85.61,1631800,85.61
2013-12-05,85.11,87.63,84.72,85.54,1473000,85.54
2013-12-04,85.32,86.84,84.52,85.13,1933100,85.13
