Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,83.58,83.76,82.19,82.56,1113600,82.56
2013-12-31,83.42,83.99,83.41,83.77,930300,83.77
2013-12-30,83.40,83.55,82.91,83.36,518300,83.36
2013-12-27,83.63,83.92,83.15,83.43,878300,83.43
2013-12-26,83.48,83.88,83.32,83.59,816600,83.59
2013-12-24,83.38,83.69,83.06,83.37,314000,83.37
2013-12-23,83.30,83.83,83.23,83.38,872300,83.38
2013-12-20,82.26,83.47,81.90,82.88,1819000,82.88
2013-12-19,82.52,83.21,82.07,82.13,1807800,82.13
2013-12-18,79.99,83.08,79.69,82.86,2583700,82.86
2013-12-17,80.03,80.36,79.46,79.81,1201100,79.81
2013-12-16,79.17,80.45,79.00,80.16,1342300,80.16
2013-12-13,78.37,78.79,77.72,78.37,1255500,78.37
2013-12-12,78.42,78.80,77.94,78.02,1087300,78.02
2013-12-11,79.66,79.96,78.54,78.61,1515500,78.23
2013-12-10,79.97,80.12,79.19,79.52,943900,79.14
2013-12-09,80.13,80.57,79.87,80.06,847600,79.67
2013-12-06,80.00,80.13,79.52,79.82,1582900,79.43
2013-12-05,79.58,79.73,78.48,78.54,1044700,78.16
2013-12-04,79.52,80.32,78.78,79.55,753800,79.17
