Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,90.51,90.66,88.97,89.33,1543900,89.33
2013-12-31,90.34,90.74,90.22,90.54,1107700,90.54
2013-12-30,90.04,90.53,89.86,90.28,1267900,90.28
2013-12-27,90.01,90.21,89.45,89.85,758200,89.85
2013-12-26,89.89,90.16,89.38,90.01,938600,90.01
2013-12-24,89.11,89.55,89.01,89.49,512800,89.49
2013-12-23,89.91,89.91,89.01,89.16,1277100,89.16
2013-12-20,88.67,89.64,88.62,89.18,3911300,89.18
2013-12-19,87.79,88.93,87.79,88.79,2140300,88.79
2013-12-18,86.96,88.15,86.62,88.14,2928000,88.14
2013-12-17,86.77,87.00,86.26,86.57,1852300,86.57
2013-12-16,86.99,87.36,86.65,87.05,2367800,87.05
2013-12-13,86.56,86.79,86.29,86.49,1568300,86.49
2013-12-12,87.12,87.37,86.50,86.63,1889300,86.63
2013-12-11,88.42,88.72,87.04,87.10,2179900,87.10
2013-12-10,88.09,88.83,88.03,88.44,1931100,88.44
2013-12-09,89.05,89.28,88.33,88.45,2539400,88.45
2013-12-06,88.18,89.42,88.18,89.01,1831200,89.01
2013-12-05,88.37,88.76,87.84,87.92,2334300,87.42
2013-12-04,88.71,89.46,87.89,88.61,2349600,88.11
