Date,Open,High,Low,Close,Volume,Adj Close
2014-01-02,33.52,33.53,33.09,33.17,2001300,33.17
2013-12-31,33.58,33.89,33.28,33.46,1367800,33.46
2013-12-30,33.45,33.64,33.33,33.58,1215400,33.58
2013-12-27,33.38,33.56,33.31,33.47,1046500,33.47
2013-12-26,33.42,33.63,33.20,33.30,1394600,33.30
2013-12-24,33.28,33.48,33.18,33.44,598800,33.44
2013-12-23,33.47,33.57,33.14,33.34,1778000,33.34
2013-12-20,33.84,33.89,33.19,33.21,5309300,33.21
2013-12-19,33.75,33.93,33.50,33.84,3485400,33.84
2013-12-18,33.32,33.92,33.13,33.90,3744800,33.90
2013-12-17,33.54,33.64,33.13,33.16,3247900,33.16
2013-12-16,33.36,33.74,33.22,33.59,4244700,33.59
2013-12-13,33.75,33.75,33.03,33.11,3842600,33.11
2013-12-12,33.79,33.96,33.32,33.59,3724300,33.59
2013-12-11,34.08,34.38,33.86,33.93,3182000,33.93
2013-12-10,33.88,34.08,33.51,33.97,3755400,33.97
2013-12-09,33.83,34.15,33.65,33.79,3639800,33.79
2013-12-06,33.11,33.98,33.11,33.82,3832700,33.82
2013-12-05,33.29,33.29,32.38,32.91,6599100,32.91
2013-12-04,32.68,33.50,32.51,33.36,7043100,33.36
